"aspectId","aspectName","aspectDescription","relationType","memberAspects","dataType","scoreMethod","choice","score","criteria","depth","level","parentAspectId"
"Q1053","GI.SAP11.6","6. In practice, citizens receive responses to access to information requests within a reasonable time period.","self","","SingleChoice","raw","25","25.0",,"10","4","C329"
"Q1053","GI.SAP11.6","6. In practice, citizens receive responses to access to information requests within a reasonable time period.","self","","SingleChoice","raw","0","0.0","Records take more than one month to acquire. In some cases, records may be available sooner, but there may be persistent delays in obtaining politically sensitive records.  National security exemptions may be abused to avoid disclosure of government information.","10","4","C329"
"Q1054","GI.SAP11.7","7. In practice, citizens can use the access to information mechanism at a reasonable cost.","self","","SingleChoice","raw","100","100.0","Records are free to all citizens, or available for the cost of photocopying. Records can be obtained at little cost, such as by mail or online.","11","4","C329"
"Q1054","GI.SAP11.7","7. In practice, citizens can use the access to information mechanism at a reasonable cost.","self","","SingleChoice","raw","75","75.0",,"11","4","C329"
"Q1054","GI.SAP11.7","7. In practice, citizens can use the access to information mechanism at a reasonable cost.","self","","SingleChoice","raw","50","50.0","Records impose a financial burden on citizens, journalists, or civil society organizations (CSOs). Retrieving records may require a visit to a specific office, such as the state capitol.","11","4","C329"
"Q1054","GI.SAP11.7","7. In practice, citizens can use the access to information mechanism at a reasonable cost.","self","","SingleChoice","raw","25","25.0",,"11","4","C329"
"Q1054","GI.SAP11.7","7. In practice, citizens can use the access to information mechanism at a reasonable cost.","self","","SingleChoice","raw","0","0.0","Retrieving records imposes a major financial burden on citizens. Records costs are prohibitive to most citizens, journalists, or CSOs trying to access this information.","11","4","C329"
"Q1055","GI.SAP11.8","8. In practice, responses to information requests are of high quality.","self","","SingleChoice","raw","100","100.0","Responses to information requests typically address the requester's questions in full and are not redacted or edited to remove sensitive information.","12","4","C329"
"Q1055","GI.SAP11.8","8. In practice, responses to information requests are of high quality.","self","","SingleChoice","raw","75","75.0",,"12","4","C329"
"Q1055","GI.SAP11.8","8. In practice, responses to information requests are of high quality.","self","","SingleChoice","raw","50","50.0","Information requests are sometimes met with sufficient responses, but responses to information requests may be vague or overly general when sensitive information is sought.  ","12","4","C329"
"Q1055","GI.SAP11.8","8. In practice, responses to information requests are of high quality.","self","","SingleChoice","raw","25","25.0",,"12","4","C329"
"Q1055","GI.SAP11.8","8. In practice, responses to information requests are of high quality.","self","","SingleChoice","raw","0","0.0","The government rarely or never replies to information requests with meaningful responses.  If and when responses are issued, they are so overly general or heavily redacted as to render them useless. ","12","4","C329"
"Q1056","GI.SAP11.9","9. In practice, citizens can resolve appeals to access to information requests within a reasonable time period.","self","","SingleChoice","raw","100","100.0","The agency/entity acts on appeals quickly. While some backlog is expected and inevitable, appeals are acknowledged promptly and cases move steadily towards resolution.","13","4","C329"
"Q1056","GI.SAP11.9","9. In practice, citizens can resolve appeals to access to information requests within a reasonable time period.","self","","SingleChoice","raw","75","75.0",,"13","4","C329"
"Q1056","GI.SAP11.9","9. In practice, citizens can resolve appeals to access to information requests within a reasonable time period.","self","","SingleChoice","raw","50","50.0","The agency/entity acts on appeals quickly but with some exceptions. Some appeals may not be acknowledged, and simple issues may take more than two months to resolve.","13","4","C329"
"Q1056","GI.SAP11.9","9. In practice, citizens can resolve appeals to access to information requests within a reasonable time period.","self","","SingleChoice","raw","25","25.0",,"13","4","C329"
"Q1056","GI.SAP11.9","9. In practice, citizens can resolve appeals to access to information requests within a reasonable time period.","self","","SingleChoice","raw","0","0.0","The agency/entity does not resolve appeals in a timely fashion. Appeals may be unacknowledged for many months and simple issues may take more than three months to resolve.","13","4","C329"
"Q1057","GI.SAP11.10","10. In practice, citizens can resolve appeals to information requests at a reasonable cost.","self","","SingleChoice","raw","100","100.0","In most cases, the appeals mechanism is an affordable option to middle class citizens seeking to challenge an access to information determination.","14","4","C329"
"Q1057","GI.SAP11.10","10. In practice, citizens can resolve appeals to information requests at a reasonable cost.","self","","SingleChoice","raw","75","75.0",,"14","4","C329"
"Q1057","GI.SAP11.10","10. In practice, citizens can resolve appeals to information requests at a reasonable cost.","self","","SingleChoice","raw","50","50.0","In some cases, the appeals mechanism is not an affordable option to middle class citizens seeking to challenge an access to information determination.","14","4","C329"
"Q1057","GI.SAP11.10","10. In practice, citizens can resolve appeals to information requests at a reasonable cost.","self","","SingleChoice","raw","25","25.0",,"14","4","C329"
"Q1057","GI.SAP11.10","10. In practice, citizens can resolve appeals to information requests at a reasonable cost.","self","","SingleChoice","raw","0","0.0","The prohibitive cost of utilizing the appeals mechanism prevents middle class citizens from challenging access to information determinations.","14","4","C329"
"Q1058","GI.SAP11.11","11. In practice, the government gives reasons for denying an information request.","self","","SingleChoice","raw","100","100.0","The government always discloses to the requester the specific, formal reasons for denying information requests.","15","4","C329"
"Q1058","GI.SAP11.11","11. In practice, the government gives reasons for denying an information request.","self","","SingleChoice","raw","75","75.0",,"15","4","C329"
"Q1058","GI.SAP11.11","11. In practice, the government gives reasons for denying an information request.","self","","SingleChoice","raw","50","50.0","The government usually discloses reasons for denying an information request to the requester, with some exceptions. The reasons may be vague or not readily provided.","15","4","C329"
"Q1058","GI.SAP11.11","11. In practice, the government gives reasons for denying an information request.","self","","SingleChoice","raw","25","25.0",,"15","4","C329"
"Q1058","GI.SAP11.11","11. In practice, the government gives reasons for denying an information request.","self","","SingleChoice","raw","0","0.0","The government does not regularly give reasons for denying an information request to the requester.","15","4","C329"
"Q1059","GI.SAP11.12","12. In practice, when necessary, the agency that monitors the application of access to information laws and regulations independently initiates investigations.","self","","SingleChoice","raw","100","100.0","The monitoring agency aggressively starts investigations into allegations of wrongdoing or cooperates well with other agencies that do. The agency is fair in its application of this power.","16","4","C329"
"Q1059","GI.SAP11.12","12. In practice, when necessary, the agency that monitors the application of access to information laws and regulations independently initiates investigations.","self","","SingleChoice","raw","75","75.0",,"16","4","C329"
"Q1059","GI.SAP11.12","12. In practice, when necessary, the agency that monitors the application of access to information laws and regulations independently initiates investigations.","self","","SingleChoice","raw","50","50.0","The monitoring agency will start investigations, but often relies on external pressure to set priorities, has limited effectiveness when investigating, or is reluctant to cooperate with other agencies in politically sensitive cases. The agency, though limited in effectiveness, is still fair in its application of power.","16","4","C329"
"Q1059","GI.SAP11.12","12. In practice, when necessary, the agency that monitors the application of access to information laws and regulations independently initiates investigations.","self","","SingleChoice","raw","25","25.0",,"16","4","C329"
"Q1059","GI.SAP11.12","12. In practice, when necessary, the agency that monitors the application of access to information laws and regulations independently initiates investigations.","self","","SingleChoice","raw","0","0.0","The monitoring agency rarely investigates on its own, is uncooperative with other agencies, or the agency or entity is partisan in its application of this power.","16","4","C329"
"Q1060","GI.SAP11.13","13. In practice, when necessary, the agency that monitors the application of access to information laws and regulations imposes penalties on offenders.","self","","SingleChoice","raw","100","100.0","When rules violations are discovered, the monitoring agency is aggressive in penalizing offenders or cooperates with other agencies that impose penalties.","17","4","C329"
"Q1060","GI.SAP11.13","13. In practice, when necessary, the agency that monitors the application of access to information laws and regulations imposes penalties on offenders.","self","","SingleChoice","raw","75","75.0",,"17","4","C329"
"Q1060","GI.SAP11.13","13. In practice, when necessary, the agency that monitors the application of access to information laws and regulations imposes penalties on offenders.","self","","SingleChoice","raw","50","50.0","The monitoring agency enforces rules but is limited in its effectiveness. The agency may be slow to act, unwilling to take on politically powerful offenders, reluctant to cooperate with other agencies, or occasionally unable to enforce its judgments.","17","4","C329"
"Q1060","GI.SAP11.13","13. In practice, when necessary, the agency that monitors the application of access to information laws and regulations imposes penalties on offenders.","self","","SingleChoice","raw","25","25.0",,"17","4","C329"
"Q1060","GI.SAP11.13","13. In practice, when necessary, the agency that monitors the application of access to information laws and regulations imposes penalties on offenders.","self","","SingleChoice","raw","0","0.0","The monitoring agency does not effectively penalize offenders. The agency may make judgments but not enforce them or may fail to make reasonable judgments against offenders. The agency may be partisan in its application of power or refuses to cooperate with other agencies.","17","4","C329"
"C330","Category 330","Category 2. >","contains","C331","Float","mean","","","","18","1",""
"C331","Category 331",">. Political Financing","contains","C332|C333|C334|C335|C336|C337","Float","mean","","","","19","2","C330"
"C332","Category 332","2.1. Are there regulations governing the financing of political parties?","contains","Q1061|Q1062|Q1063|Q1064|Q1065|Q1066|Q1067|Q1068|Q1069","Float","mean","","","","20","3","C331"
"Q1061","GI.SAP11.14","14. In law, there are limits on individual donations to political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits in size on individual contributions to political parties. A YES score is also earned if individual contributions are prohibited.","21","4","C332"
"Q1061","GI.SAP11.14","14. In law, there are limits on individual donations to political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on contributions from individuals.  A NO score is also earned if limits are applied by the government on opposition parties in a discriminatory manner.","21","4","C332"
"Q1062","GI.SAP11.15","15. In law, there are limits on corporate donations to political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits in size on corporate contributions to political parties. A YES score is earned if corporate contributions are prohibited.","22","4","C332"
"Q1062","GI.SAP11.15","15. In law, there are limits on corporate donations to political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on corporate contributions to political parties. A NO score is also earned if limits are applied by the government on opposition parties in a discriminatory manner.","22","4","C332"
"Q1063","GI.SAP11.16","16. In law, there are limits on donations from political action committees to political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits in size on contributions by political action committees to political parties. A YES score is also earned if contributions by political action committees are prohibited.","23","4","C332"
"Q1063","GI.SAP11.16","16. In law, there are limits on donations from political action committees to political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on contributions from political action committees.  A NO score is also earned if limits are applied by the government on opposition parties in a discriminatory manner.","23","4","C332"
"Q1064","GI.SAP11.17","17. In law, there are limits on lobbyists' donations to political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits on the size of lobbyists' contributions to political parties. A YES score is also earned if lobbyists' contributions are prohibited.","24","4","C332"
"Q1064","GI.SAP11.17","17. In law, there are limits on lobbyists' donations to political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on contributions from lobbyists. A NO score is also earned if limits are applied by the government on opposition parties in a discriminatory manner.","24","4","C332"
"Q1065","GI.SAP11.18","18. In law, there are requirements for the disclosure of individual donations to political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of contributions to political parties.","25","4","C332"
"Q1065","GI.SAP11.18","18. In law, there are requirements for the disclosure of individual donations to political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of contributions to political parties, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","25","4","C332"
"Q1066","GI.SAP11.19","19. In law, there are requirements for the disclosure of donations to political parties by corporations.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of contributions to political parties by corporations.","26","4","C332"
"Q1066","GI.SAP11.19","19. In law, there are requirements for the disclosure of donations to political parties by corporations.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of contributions to political parties, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","26","4","C332"
"Q1067","GI.SAP11.20","20. In law, there are requirements for the disclosure of donations to political parties by political action committees.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of contributions to political parties by political action committees.","27","4","C332"
"Q1067","GI.SAP11.20","20. In law, there are requirements for the disclosure of donations to political parties by political action committees.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of contributions to political parties, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","27","4","C332"
"Q1068","GI.SAP11.21","21. In law, there are requirements for the independent auditing of the finances of political parties when financial irregularities are uncovered.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a legal or regulatory requirement for the independent auditing of party finances and expenditures when irregularities are uncovered.  The auditing is performed by an impartial third party.","28","4","C332"
"Q1068","GI.SAP11.21","21. In law, there are requirements for the independent auditing of the finances of political parties when financial irregularities are uncovered.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no legal or regulatory requirements for the independent auditing of political parties' finances and expenditures when financial irregularities are uncovered.  A NO score is also earned if such requirements exist but allow for parties to self-audit.","28","4","C332"
"Q1069","GI.SAP11.22","22. In law, there is an agency or entity that monitors the financing of political parties.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is an agency or set of agencies/entities formally assigned to monitor and enforce laws and regulations around the financing of political parties.  A YES score is earned even if the agency/entity is ineffective in practice.","29","4","C332"
"Q1069","GI.SAP11.22","22. In law, there is an agency or entity that monitors the financing of political parties.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such agency or entity.  A NO score is also earned if this monitoring is solely carried out by the media and CSOs.","29","4","C332"
"C333","Category 333","2.2. Are there regulations governing the financing of individual political candidates?","contains","Q1070|Q1071|Q1072|Q1073|Q1075|Q1076|Q1077|Q1078|Q1079|Q1080","Float","mean","","","","30","3","C331"
"Q1070","GI.SAP11.23","23. In law, there are limits on individual donations to political candidates.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any limits on the size of individual contributions to political candidates. A YES score is also earned if individual contributions are prohibited.","31","4","C333"
"Q1070","GI.SAP11.23","23. In law, there are limits on individual donations to political candidates.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on contributions from individuals.  A NO score is also earned if limits are applied by the government on opposition candidates in a discriminatory manner.","31","4","C333"
"Q1071","GI.SAP11.24","24. In law, there are limits on corporate donations to individual political candidates.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any limits on the size of corporate contributions to individual political candidates. A YES score is earned if corporate contributions are prohibited.","32","4","C333"
"Q1071","GI.SAP11.24","24. In law, there are limits on corporate donations to individual political candidates.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on corporate contributions to individual political candidates. A NO score is also earned if limits are applied by the government on opposition candidates in a discriminatory manner.","32","4","C333"
"Q1072","GI.SAP11.25","25. In law, there are limits on donations from political action committees to individual political candidates.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits in size on contributions by political action committees to individual political candidates. A YES score is also earned if contributions are prohibited.","33","4","C333"
"Q1072","GI.SAP11.25","25. In law, there are limits on donations from political action committees to individual political candidates.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no limits on contributions from political action committees.  A NO score is also earned if limits are applied by the government on oppositional political candidates in a discriminatory manner.","33","4","C333"
"Q1073","GI.SAP11.26","26. In law, legislators are prohibited from the personal use of campaign contributions.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are regulations that explicitly prohibit the use of campaign contributions for personal ends.","34","4","C333"
"Q1073","GI.SAP11.26","26. In law, legislators are prohibited from the personal use of campaign contributions.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if no such regulation exists.","34","4","C333"
"Q1075","GI.SAP11.27","27. In law, there are requirements for the disclosure of donations to individual political candidates.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of financial contributions to individual political candidates.","35","4","C333"
"Q1075","GI.SAP11.27","27. In law, there are requirements for the disclosure of donations to individual political candidates.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of contributions to individual political candidates, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","35","4","C333"
"Q1076","GI.SAP11.28","28. In law, there are requirements for the disclosure of donations to individual political candidates from corporations.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of donations to individual political candidates from corporations.","36","4","C333"
"Q1076","GI.SAP11.28","28. In law, there are requirements for the disclosure of donations to individual political candidates from corporations.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of donations to individual political candidates, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","36","4","C333"
"Q1077","GI.SAP11.29","29. In law, there are requirements for the disclosure of donations to individual political candidates from political action committees.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are any requirements mandating the disclosure of donations to individual political candidates from political action committees.","37","4","C333"
"Q1077","GI.SAP11.29","29. In law, there are requirements for the disclosure of donations to individual political candidates from political action committees.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no requirements mandating the disclosure of donations to individual political candidates, existing regulations do not require a donor's name or amount given, or the regulations allow for anonymous donations.","37","4","C333"
"Q1078","GI.SAP11.30","30. In law, there are requirements for the independent auditing of the campaign finances of individual political candidates when irregularities are uncovered.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is a legal or regulatory requirement for the independent auditing of an individual candidate's campaign finances and expenditures when financial irregularities are uncovered.  The auditing is performed by an impartial third party.","38","4","C333"
"Q1078","GI.SAP11.30","30. In law, there are requirements for the independent auditing of the campaign finances of individual political candidates when irregularities are uncovered.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there are no legal or regulatory requirements for the independent auditing of an individual candidate's campaign finances and expenditures when financial irregularities are uncovered.  A NO score is also earned if such requirements exist but allow for candidates to self-audit.","38","4","C333"
"Q1079","GI.SAP11.31","31. In law, there is an agency or entity that monitors the financing of individual political candidates' campaigns.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there is an agency or set of agencies/entities formally assigned to monitor and enforce laws and regulations around the financing of individual political candidates' campaigns.  A YES score is earned even if the agency/entity is ineffective in practice.","39","4","C333"
"Q1079","GI.SAP11.31","31. In law, there is an agency or entity that monitors the financing of individual political candidates' campaigns.","self","","SingleChoice","raw","NO","0.0","A NO score is earned if there is no such agency or entity.  A NO score is also earned if this monitoring is solely carried out by the media and CSOs.","39","4","C333"
"Q1080","GI.SAP11.32","32. In law, there are limits on lobbyists' donations to individual candidates.","self","","SingleChoice","raw","YES","100.0","A YES score is earned if there are limits in size on lobbyists' contributions to individual candidates. A YES score is also earned if lobbyists' contributions are prohibited.","40","4","C333"
"Q1080","GI.SAP11.32","32. In law, there are limits on lobbyists' donations to individual candidates.","self","","SingleChoice","raw","NO","0.0","A NO score if there are no limits on contributions from lobbyists. A NO score is also earned if limits are applied by the government on opposition parties in a discriminatory manner.","40","4","C333"
"C334","Category 334","2.3. Are the regulations governing the political financing of parties effective?","contains","Q1081|Q1082|Q1083|Q1084|Q1085|Q1086|Q1087|Q1088","Float","mean","","","","41","3","C331"
"Q1081","GI.SAP11.33","33. In practice, the limits on individual donations to political parties are effective in regulating an individual's ability to financially support a political party.","self","","SingleChoice","raw","100","100.0","Existing limits represent the full extent to which an individual can directly or indirectly financially support a political party.  Limits are reasonably low in the context of the total costs of running a campaign.","42","4","C334"
"Q1081","GI.SAP11.33","33. In practice, the limits on individual donations to political parties are effective in regulating an individual's ability to financially support a political party.","self","","SingleChoice","raw","75","75.0",,"42","4","C334"
"Q1081","GI.SAP11.33","33. In practice, the limits on individual donations to political parties are effective in regulating an individual's ability to financially support a political party.","self","","SingleChoice","raw","50","50.0","Existing limits generally represent the full extent to which an individual can directly or indirectly financially support a political party.  However, exceptions and loopholes exist through which individuals can indirectly support political parties above and beyond those formal limitations.  Such loopholes could include making donations to third-party groups that advocate on behalf of (or against) a particular party; unregulated loans to parties (rather than direct donations); or in-kind support that is not explicitly regulated by laws or regulations.  The limits may be too high in the context of the overall costs of running a campaign.","42","4","C334"
"Q1081","GI.SAP11.33","33. In practice, the limits on individual donations to political parties are effective in regulating an individual's ability to financially support a political party.","self","","SingleChoice","raw","25","25.0",,"42","4","C334"
"Q1081","GI.SAP11.33","33. In practice, the limits on individual donations to political parties are effective in regulating an individual's ability to financially support a political party.","self","","SingleChoice","raw","0","0.0","Existing limits are routinely bypassed or willfully ignored.  The vast majority of individual contributions to a political party are made outside of the formal limitation system.  There is no enforcement of  violations.  Limits are so high that they are meaningless in the context of the overall costs of running a campaign.","42","4","C334"
"Q1082","GI.SAP11.34","34. In practice, the limits on corporate donations to political parties are effective in regulating a company's ability to financially support a political party.","self","","SingleChoice","raw","100","100.0","Existing limits represent the full extent to which a company can directly or indirectly financially support a political party.  Limits are reasonably low enough in the context of the total costs of running a campaign to be meaningful.","43","4","C334"
"Q1082","GI.SAP11.34","34. In practice, the limits on corporate donations to political parties are effective in regulating a company's ability to financially support a political party.","self","","SingleChoice","raw","75","75.0",,"43","4","C334"
"Q1082","GI.SAP11.34","34. In practice, the limits on corporate donations to political parties are effective in regulating a company's ability to financially support a political party.","self","","SingleChoice","raw","50","50.0","Existing limits generally represent the full extent to which a company can directly or indirectly financially support a political party.  However, exceptions and loopholes exist through which companies can indirectly support political parties above and beyond those formal limitations.  Such loopholes could include making donations to third-party groups that advocate on behalf of (or against) a particular party; unregulated loans to parties (rather than direct donations); or in-kind support that is not explicitly regulated by laws or regulations.  The limits may be too high in the context of the overall costs of running a campaign.","43","4","C334"
"Q1082","GI.SAP11.34","34. In practice, the limits on corporate donations to political parties are effective in regulating a company's ability to financially support a political party.","self","","SingleChoice","raw","25","25.0",,"43","4","C334"
"Q1082","GI.SAP11.34","34. In practice, the limits on corporate donations to political parties are effective in regulating a company's ability to financially support a political party.","self","","SingleChoice","raw","0","0.0","Existing limits are routinely bypassed or willfully ignored.  The majority of corporate contributions to political parties are made outside of the formal limitation system.  There is no enforcement of violations.  Limits are so high that they are meaningless in the context of the overall costs of running a campaign.","43","4","C334"
"Q1083","GI.SAP11.35","35. In practice, the limits on donations to political parties by political action committees are effective in regulating the organization's ability to financially support a political party.","self","","SingleChoice","raw","100","100.0","Existing limits represent the full extent to which a political action committee can directly or indirectly financially support a political party.  Limits are reasonably low enough in the context of the total costs of running a campaign.","44","4","C334"
"Q1083","GI.SAP11.35","35. In practice, the limits on donations to political parties by political action committees are effective in regulating the organization's ability to financially support a political party.","self","","SingleChoice","raw","75","75.0",,"44","4","C334"
"Q1083","GI.SAP11.35","35. In practice, the limits on donations to political parties by political action committees are effective in regulating the organization's ability to financially support a political party.","self","","SingleChoice","raw","50","50.0","Existing limits generally represent the full extent to which a political action committee can directly or indirectly financially support a political party.  However, exceptions and loopholes exist through which political action committees can indirectly support political parties above and beyond those formal limitations.  Such loopholes could include making donations to third-party groups that advocate on behalf of (or against) a particular party; unregulated loans to parties (rather than direct donations); or in-kind support that is not explicitly regulated by laws or regulations.  The limits may be too high in the context of the overall costs of running a campaign.","44","4","C334"
"Q1083","GI.SAP11.35","35. In practice, the limits on donations to political parties by political action committees are effective in regulating the organization's ability to financially support a political party.","self","","SingleChoice","raw","25","25.0",,"44","4","C334"
"Q1083","GI.SAP11.35","35. In practice, the limits on donations to political parties by political action committees are effective in regulating the organization's ability to financially support a political party.","self","","SingleChoice","raw","0","0.0","Existing limits are routinely bypassed or willfully ignored.  The majority of contributions made by political action committees to political parties are made outside of the formal limitation system.  There is no enforcement of violations.  Limits are so high that they are meaningless in the context of the overall costs of running a campaign.","44","4","C334"
"Q1084","GI.SAP11.36","36. In practice, when necessary, an agency or entity monitoring the financing of political parties independently initiates investigations.","self","","SingleChoice","raw","100","100.0","The agency or entity aggressively starts investigations into allegations of wrong doing with respect to the financing of political parties, or cooperates well with other agencies that do. The agency is fair in its application of this power.","45","4","C334"
"Q1084","GI.SAP11.36","36. In practice, when necessary, an agency or entity monitoring the financing of political parties independently initiates investigations.","self","","SingleChoice","raw","75","75.0",,"45","4","C334"
"Q1084","GI.SAP11.36","36. In practice, when necessary, an agency or entity monitoring the financing of political parties independently initiates investigations.","self","","SingleChoice","raw","50","50.0","The agency or entity will start investigations, but often relies on external pressure to set priorities, has limited effectiveness when investigating, or is reluctant to cooperate with other agencies in politically sensitive cases. The agency, though limited in effectiveness, is still fair in its application of power.","45","4","C334"
"Q1084","GI.SAP11.36","36. In practice, when necessary, an agency or entity monitoring the financing of political parties independently initiates investigations.","self","","SingleChoice","raw","25","25.0",,"45","4","C334"
